dataset,experts,top_k,hbm_capacity,tokens,accesses,markov_order,gating,min_support,min_confidence,lru_hit_rate_pct,prefetch_hit_rate_pct,hit_rate_gain_pts,prefetch_accuracy_pct,prefetches_issued,prefetches_wasted,cxl_traffic_multiplier,energy_multiplier,lru_energy_mj_per_access,prefetch_energy_mj_per_access,cxl_energy_basis
Synthetic fine-grained (64e/top8),64,8,32,30000,240000,2,permissive,2,0.1,55.23833333333334,55.57666666666666,0.33833333333332405,15.712074303405574,5168,4356,1.0405480880217448,1.0374658969114692,28.379662157960603,29.442931654753075,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (64e/top8),64,8,32,30000,240000,2,moderate,8,0.2,55.23833333333334,55.34083333333333,0.10249999999999204,18.482344102178814,1331,1085,1.0100997877648286,1.0093616158506828,28.379662157960603,28.645341653055592,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (64e/top8),64,8,32,30000,240000,2,conservative,8,0.3,55.23833333333334,55.335833333333326,0.09749999999998948,18.295543393276,1279,1045,1.009727445358752,1.0090145076581398,28.379662157960603,28.635490839818956,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (64e/top8),64,8,32,30000,240000,2,strict,20,0.4,55.23833333333334,55.245,0.006666666666660603,26.229508196721312,61,45,1.0004188852068363,1.0003921852031534,28.379662157960603,28.390792241529446,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (60e/top4),60,4,30,30000,120000,1,aggressive,1,0.0,57.486666666666665,57.52,0.033333333333338544,9.345794392523365,428,388,1.0076054571114945,1.00692202693385,27.18524342827991,27.373420415493733,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (60e/top4),60,4,30,30000,120000,1,permissive,2,0.1,57.486666666666665,57.52,0.033333333333338544,9.70873786407767,412,372,1.0072918300141132,1.0066389085248681,27.18524342827991,27.365723772626534,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (60e/top4),60,4,30,30000,120000,1,moderate,8,0.2,57.486666666666665,57.50416666666667,0.0175000000000054,8.13953488372093,258,237,1.0046456013799592,1.0042233043289648,27.18524342827991,27.30005498453453,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (60e/top4),60,4,30,30000,120000,1,conservative,8,0.3,57.486666666666665,57.49416666666667,0.00750000000000739,10.843373493975903,83,74,1.001450525325388,1.00132211388265,27.18524342827991,27.22118541601966,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (60e/top4),60,4,30,30000,120000,1,strict,20,0.4,57.486666666666665,57.486666666666665,0.0,0.0,0,0,1.0,1.0,27.18524342827991,27.18524342827991,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (60e/top4),60,4,30,30000,120000,2,aggressive,1,0.0,57.486666666666665,57.843333333333334,0.35666666666666913,7.241962774957698,5910,5482,1.1074564842402383,1.0976069838990399,27.18524342827991,29.838713045875508,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (60e/top4),60,4,30,30000,120000,2,permissive,2,0.1,57.486666666666665,57.7775,0.29083333333333883,7.484452069483165,4663,4314,1.0845617061314097,1.0768279391491846,27.18524342827991,29.27382965614357,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (60e/top4),60,4,30,30000,120000,2,moderate,8,0.2,57.486666666666665,57.555,0.06833333333333513,8.532778355879293,961,879,1.0172298886623805,1.0156694489013232,27.18524342827991,27.611221211049372,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (60e/top4),60,4,30,30000,120000,2,conservative,8,0.3,57.486666666666665,57.527499999999996,0.04083333333333172,8.13953488372093,602,553,1.0108397365532382,1.0098543767675845,27.18524342827991,27.453137059540683,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (60e/top4),60,4,30,30000,120000,2,strict,20,0.4,57.486666666666665,57.486666666666665,0.0,0.0,1,1,1.0000196016935863,1.0000176949005612,27.18524342827991,27.185724468459107,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
